"ARVO","NIMI_FI","NIMI_SV","NIMI_EN","KUVAUS_FI","LYHYTNIMI_FI","KUVAUS_SV","LYHYTNIMI_SV","KUVAUS_EN","LYHYTNIMI_EN","ALKUPVM","LOPPUPVM"
352100,"Elintarvikealan peruskoulutus","Grundutbildning inom livsmedelsbranschen","VET in Food Industry",,"Elintarvikealan peruskoulutus",,"Grundutb., livsmedelsbr.",,"Vocational Education and Training in Food Industry",01.01.1997,
352101,"Elintarvikealan perustutkinto","Livsmedelsbranschen, grundexamen","Food Production, VQ",,"Elintarvikealan perustutk",,"Livsmedelsbr., gr.ex.",,"Food Production, Vocational Qualification",01.01.1997,
352102,"Kondiittori","Konditor","Confectioner",,"Kondiittori",,"Konditor",,"Confectioner",01.01.1997,
352103,"Maidonkäsittelyn perustutkinto","Mjölkhantering, grundexamen","Milk Processing, VQ",,"Maidonkäsittelyn perustutk",,"Mjölkhantering, gr.ex.",,"Milk Processing, Vocational Qualification",01.01.1997,
352104,"Meijeristi","Mejerist","Dairyperson",,"Meijeristi",,"Mejerist",,"Dairyperson",01.01.1997,
352151,"Elintarvikelaborantti","Livsmedelslaborant","Food Industry Lab. Assistant",,"Elintarvikelaborantti",,"Livsmedelslaborant",,"Food Industry Laboratory Assistant",01.01.1997,
352152,"Elintarviketyöntekijä","Livsmedelsarbetare","Industrial Food Processor",,"Elintarviketyöntekijä",,"Livsmedelsarbetare",,"Industrial Food Processor",01.01.1997,
352153,"Leipuri","Bagare","Baker",,"Leipuri",,"Bagare",,"Baker",01.01.1997,
352154,"Lihateollisuusteknikko","Köttindustritekniker","Meat Industry Technician",,"Lihateollisuusteknikko",,"Köttindustritekniker",,"Meat Industry Technician",01.01.1997,
352155,"Lihavalmistetyöntekijä","Charkuteriarbetare","Meat Processing Worker",,"Lihavalmistetyöntekijä",,"Charkuteriarbetare",,"Meat Processing Worker",01.01.1997,
352156,"Maidonkäsittelijä","Mjölkhanterare","Milk Processor",,"Maidonkäsittelijä",,"Mjölkhanterare",,"Milk Processor",01.01.1997,
352157,"Mylläri, myllytyöntekijä","Mjölnare, kvarnarbetare","Miller, Mill Worker",,"Mylläri, myllytyöntekijä",,"Mjölnare, kvarnarbetare",,"Miller, Mill Worker",01.01.1997,
352199,"Muu tai tuntematon elintarvikealan peruskoulutus","Annan eller okänd grundutbildning inom livsmedelsbranschen","Other VET in Food Industry",,"Muu elintarvikealan perusk",,"Ann. gr.utb., livsmedelsbr.",,"Other or Unknown Vocational Education and Training in Food Industry",01.01.1997,
352200,"Rakennus- ja yhdyskunta-alan peruskoulutus","Grundutbildning inom byggnadsbranschen","VET in Construction Tech.",,"Rakennus-,yhdyskunta-al perusk",,"Gr.utb., byggnadsbr.",,"Vocational Education and Training in Construction Technology and Community Development and Maintenance",01.01.1997,
352201,"Rakennusalan perustutkinto","Byggnadsbranschen, grundexamen","Construction, VQ",,"Rakennusalan perustutk",,"Byggnadsbr., gr.ex.",,"Construction, Vocational Qualification",01.01.1997,
352251,"Betonirakentaja","Betongbyggare","Concrete Builder",,"Betonirakentaja",,"Betongbyggare",,"Concrete Builder",01.01.1997,
352252,"Kirvesmies","Timmerman","Carpenter",,"Kirvesmies",,"Timmerman",,"Carpenter",01.01.1997,
352253,"Muurari","Murare","Bricklayer",,"Muurari",,"Murare",,"Bricklayer",01.01.1997,
352254,"Rakennusmies, talonrakentaja","Byggnadsarbetare, husbyggare","Builder",,"Rakennusmies, talonrakentaja",,"Byggnadsarbetare, husbyggare",,"Builder",01.01.1997,
352255,"Yhdyskuntarakentaja","Anläggningsarbetare","Comm. Developm., Maint. Build.",,"Yhdyskuntarakentaja",,"Anläggningsarbetare",,"Community Development and Maintenance Builder",01.01.1997,
352299,"Muu tai tuntematon rakennus- ja yhdyskunta-alan peruskoulutus","Annan eller okänd grundutbildning inom byggnadsbranschen","Other VET in Construcation",,"Muu rakennus, yhd.kunta perusk",,"Ann. gr.utb., byggnadsbr.",,"Other or Unknown Vocational Education and Training in Construction Technology and Community Development and Maintenance",01.01.1997,
352300,"Maanmittausalan peruskoulutus","Grundutbildning inom lantmäteribranschen","VET in Land Survey Technology",,"Maanmittausalan peruskoulutus",,"Grundutb., lantmäteribr.",,"Vocational Education and Training in Land Survey Technology",01.01.1997,
352301,"Maanmittausalan perustutkinto","Lantmäteribranschen, grundexamen","Land Surveying, VQ",,"Maanmittausalan perustutk",,"Lantmäteribr., gr.ex.",,"Land Surveying, Vocational Qualification",01.01.1997,
352302,"Kartoittaja","Kartläggare","Surveyor",,"Kartoittaja",,"Kartläggare",,"Surveyor",01.01.1997,
352351,"Mekaanikko, maanmittaustekniikka: kartanpiirtäjä","Mekaniker, lantmäteriteknik: kartritare","Mechanic, Land Survey Tech.",,"Mekaanikko, maanmittaustekn.",,"Mekan., lantmät.tekn: kartrit.",,"Mechanic, Land Survey Technology",01.01.1997,
352399,"Muu tai tuntematon maanmittausalan peruskoulutus","Annan eller okänd grundutbildning inom lantmäteribranschen","Other VET in Land Survey Tech.",,"Muu maanmittausalan perusk",,"Ann. gr.utb., lantmäteribr.",,"Other or Unknown Vocational Education and Training in Land Survey Technology",01.01.1997,
352400,"Tekstiili- ja vaatetusalan peruskoulutus","Grundutbildning inom textil- och beklädnadsbranschen","VET in Textiles and Clothing",,"Tekstiili-,vaatetusalan perusk",,"Gr.utb., textil- o bekl.br.",,"Vocational Education and Training in Textiles and Clothing",01.01.1997,
352401,"Tekstiili- ja vaatetusalan perustutkinto","Textil- och beklädnadsbranschen, grundexamen","Textiles and Clothing, VQ",,"Tekstiili, vaatetus perustutk",,"Textil- o bekl.br., gr.ex.",,"Textiles and Clothing, Vocational Qualification",01.01.1997,
352402,"Pukuompelija (perustutkinto)","Klädsömmare (grundexamen)","Dressmaker",,"Pukuompelija (perustutk)",,"Klädsömmare (gr.ex.)",,"Dressmaker",01.01.1997,
352403,"Vaatturi (perustutkinto)","Skräddare (grundexamen)","Tailor",,"Vaatturi (perustutk)",,"Skräddare (gr.ex.)",,"Tailor",01.01.1997,
352404,"Modisti (perustutkinto)","Modist (grundexamen)","Milliner",,"Modisti (perustutk)",,"Modist (gr.ex.)",,"Milliner",01.01.1997,
352405,"Jalkinealan perustutkinto","Skobranschen, grundexamen","Shoemaking, VQ",,"Jalkinealan perustutk",,"Skobr., gr.ex.",,"Shoemaking, Vocational Qualification",01.01.1997,
352406,"Turkisalan perustutkinto","Pälsbranschen, grundexamen","Fur Production, VQ",,"Turkisalan perustutk",,"Pälsbr., gr.ex.",,"Fur Production, Vocational Qualification",01.01.1997,
352407,"Tekstiilialan perustutkinto","Textilbranschen, grundexamen","Textiles, VQ",,"Tekstiilialan perustutk",,"Textilbr., gr.ex.",,"Textiles, Vocational Qualification",01.01.2000,
352408,"Vaatetusalan perustutkinto","Beklädnadsbranschen, grundexamen","Clothing, VQ",,"Vaatetusalan perustutk",,"Beklädnadsbr., gr.ex.",,"Clothing, Vocational Qualification",01.01.2000,
352451,"Jalkineiden valmistaja","Skomakare","Shoemaker",,"Jalkineiden valmistaja",,"Skomakare",,"Shoemaker",01.01.1997,
352452,"Kaavanpiirtäjä-leikkaaja","Mönsterritare-tillskärare","Patternmaker-Cutter",,"Kaavanpiirtäjä-leikkaaja",,"Mönsterritare-tillskärare",,"Patternmaker-Cutter",01.01.1997,
352453,"Kehrääjä","Spinnare","Spinner",,"Kehrääjä",,"Spinnare",,"Spinner",01.01.1997,
352454,"Kutoja","Vävare","Weaver",,"Kutoja",,"Vävare",,"Weaver",01.01.1997,
352455,"Leikkaaja","Tillskärare","Cutter",,"Leikkaaja",,"Tillskärare",,"Cutter",01.01.1997,
352456,"Mallimestari","Modellmästare","Patternmaker, SQ",,"Mallimestari",,"Modellmästare",,"Patternmaker, Specialist Qualification",01.01.1997,
352457,"Modisti: asusteidentekijä","Modist: accessoartillverkare","Milliner",,"Modisti: asusteidentekijä",,"Modist: accessoartillverkare",,"Milliner, Vocational Qualification",01.01.1997,
352458,"Neuletyöntekijä","Stickare","Hosiery Worker",,"Neuletyöntekijä",,"Stickare",,"Hosiery Worker",01.01.1997,
352459,"Ompelija","Sömmare","Dressmaker",,"Ompelija",,"Sömmare",,"Dressmaker",01.01.1997,
352460,"Pukineidenvalmistaja","Klädsömmare","Garment Maker",,"Pukineidenvalmistaja",,"Klädsömmare",,"Garment Maker",01.01.1997,
352461,"Pukuompelija: mallipukineiden valmistaja","Dräktsömmare: modelltillverkare","Dressmaker, VQ",,"Pukuompelija",,"Dräktsömmare, modelltillv.",,"Dressmaker, Vocational Qualification",01.01.1997,
352462,"Tekstiilinvalmistaja","Textiltillverkare","Textiles Maker",,"Tekstiilinvalmistaja",,"Textiltillverkare",,"Textiles Maker",01.01.1997,
352463,"Teollisuusompelija","Industrisömmare","Industrial Dressmaker",,"Teollisuusompelija",,"Industrisömmare",,"Industrial Dressmaker",01.01.1997,
352464,"Turkistenvalmistaja: turkisompelija","Pälstillverkare, pälssömmare","Fur Garment Producer",,"Turkistenvalmistaja",,"Pälstillverkare, pälssömmare",,"Fur Garment Producer",01.01.1997,
352466,"Vaatturi, mallipukineiden valmistaja","Skräddare, modelltillverkare","Tailor, Model Garment Maker",,"Vaatturi",,"Skräddare, modelltillverkare",,"Tailor, Model Garment Maker",01.01.1997,
352499,"Muu tai tuntematon tekstiili- ja vaatetusalan peruskoulutus","Annan eller okänd grundutbildning inom textil- och beklädnadsbranschen","Other VET in Textiles, Cloth.",,"Muu tekstiili, vaatetus perusk",,"Ann. gr.utb., text.- o bekl.br",,"Other or Unknown Vocational Education and Training in Textiles and Clothing",01.01.1997,
352500,"Graafisen alan peruskoulutus","Grundutbildning inom grafiska branschen","VET in Graphics Technology",,"Graafisen alan peruskoulutus",,"Grundutb., grafiska br.",,"Vocational Education and Training in Graphics Technology",01.01.1997,
352501,"Graafisen alan perustutkinto","Grafiska branschen, grundexamen","Graphic Arts Technology, VQ",,"Graafisen alan perustutk",,"Grafiska br., gr.ex.",,"Graphic Arts Technology, Vocational Qualification",01.01.1997,
352502,"Kuvankäsittelyn perustutkinto","Bildframställning, grundexamen","Image Processing, VQ",,"Kuvankäsittelyn perustutk",,"Bildframställning, gr.ex.",,"Image Processing, Vocational Qualification",01.01.1997,
352503,"Painoviestinnän perustutkinto","Grafisk kommunikation, grundexamen","Publishing and Printing, VQ",,"Painoviestinnän perustutk",,"Grafisk kommunikation, gr.ex.",,"Publishing and Printing, Vocational Qualification",01.01.2001,
352551,"Faktori","Faktor","Print-Shop Foreman",,"Faktori",,"Faktor",,"Print-Shop Foreman",01.01.1997,
352552,"Kirjapainoalan ammattikoulutus","Boktryckeribranschen, yrkesutbildning","Bookprinting, VET",,"Kirjapainoalan ammattik",,"Boktryckeribr., yrkesutb.",,"Bookprinting, Vocational Education and Training",01.01.1997,
352553,"Kuvanvalmistaja","Bildframställare","Image Processor",,"Kuvanvalmistaja",,"Bildframställare",,"Image Processor",01.01.1997,
352554,"Mekaanikko, jälkikäsittely: jälkikäsittelijä, kirjansitoja","Mekaniker, efterbearbetning: efterbearbetare, bokbindare","Mechanic, Bindery",,"Mekaanikko, jälkikäsittely",,"Mekan., efterbearbetning",,"Mechanic, Bindery",01.01.1997,
352555,"Mekaanikko, painopinnan valmistus","Mekaniker, tryckformsframställning","Mechanic, Prep. Print. Surface",,"Mekaanikko, painopinnan valm.",,"Mekan., tryckformsframst.",,"Mechanic, Preparation of Printing Surface",01.01.1997,
352556,"Mekaanikko, painotekniikka: painaja","Mekaniker, tryckteknik: tryckare","Mechanic, Printing Technology",,"Mekaanikko, painotekniikka",,"Mekan., tryckteknik: tryckare",,"Mechanic, Printing Technology",01.01.1997,
352557,"Tekstinvalmistaja","Textframställare","Text Processor",,"Tekstinvalmistaja",,"Textframställare",,"Text Processor",01.01.1997,
352558,"Valokuvauslaborantti","Fotolaborant","Photographic Lab. Assistant",,"Valokuvauslaborantti",,"Fotolaborant",,"Photographic Laboratory Assistant",01.01.1997,
352599,"Muu tai tuntematon graafisen alan peruskoulutus","Annan eller okänd grundutbildning inom grafiska branschen","Other VET in Graphics Tech.",,"Muu graafisen alan perusk",,"Ann. gr.utb., grafiska br.",,"Other or Unknown Vocational Education and Training in Graphics Technology",01.01.1997,
352900,"Muu tekniikan peruskoulutus, keskiaste","Annan teknisk grundutbildning på mellannivå","Other VET in Technology, Lvl 3",,"Muu tekn. perusk, 3-aste",,"Ann. gr.utb., teknik, nivå 3",,"Other Vocational Education and Training in Technology, Upper Secondary Level Education",01.01.1997,
352901,"Teknisen piirtäjän perustutkinto","Teknisk ritare (grundexamen)","Technical Draughtsman, VQ",,"Teknisen piirtäjän perustutk",,"Teknisk ritare (gr.ex.)",,"Technical Draughtsman, Vocational Qualification",01.01.1997,
352902,"Muovi- ja kumitekniikan perustutkinto","Plast- och gummiteknik, grundexamen","Plastics and Rubber Tech., VQ",,"Muovi- ja kumitekn. perustutk",,"Plast- o gummiteknik, gr.ex.",,"Plastics and Rubber Technology, Vocational Qualification",01.01.2000,
352903,"Suunnitteluassistentin perustutkinto","Planeringsassistent, grundexamen","Technical Design, VQ",,"Suunnitteluassist. perustutk",,"Planeringsassistent, gr.ex.",,"Technical Design, Vocational Qualification",01.01.2000,
352951,"Koneenpiirtäjä","Maskinritare","Machine Draughtsman",,"Koneenpiirtäjä",,"Maskinritare",,"Machine Draughtsman",01.01.1997,
352952,"Rakennuspiirtäjä","Byggnadsritare","Construction Draughtsman",,"Rakennuspiirtäjä",,"Byggnadsritare",,"Construction Draughtsman",01.01.1997,
352953,"Sähköpiirtäjä","Elritare","Electrical Draughtsman",,"Sähköpiirtäjä",,"Elritare",,"Electrical Draughtsman",01.01.1997,
352954,"Harjatyöntekijä","Borstbindare","Brush Maker",,"Harjatyöntekijä",,"Borstbindare",,"Brush Maker",01.01.1997,
352955,"Korityöntekijä","Korgmakare","Basket Weaver",,"Korityöntekijä",,"Korgmakare",,"Basket Weaver",01.01.1997,
352956,"Lasiteollisuusmies","Glasindustriarbetare","Glass Worker",,"Lasiteollisuusmies",,"Glasindustriarbetare",,"Glass Worker",01.01.1997,
352957,"Muovi- ja kumialan ammattikoulutus","Plast- och gummibranschen, yrkesutbildning","Plastic and Rubber Tech., VET",,"Muovi- ja kumialan ammattik",,"Plast- o gummibr., yrkesutb.",,"Plastic and Rubber Industry, Vocational Education and Training",01.01.1997,
352999,"Muu tai tuntematon tekniikan peruskoulutus, keskiaste","Annan eller okänd teknisk grundutbildning på mellannivå","Other VET in Technology, Lvl 3",,"Muu tekniikan perusk, 3-aste",,"Ann. gr.utb., teknik, nivå 3",,"Other or Unknown Vocational Education and Training in Technology, Upper Secondary Level Education",01.01.1997,
354000,"Tekniikan ammattitutkinto (kone-, LVI-, auto-, sähköala, tietotekniikka, kemianteollisuus, puu-, pintakäsittelyala)","Yrkesexamen i teknik (maskin-, VVS-, bil-, elbranschen, datateknik, kemisk industri, trä-, ytbehandlingsbranschen)","FQ in Technology (Metalwork)",,"Tekniikan at (kone ym)",,"Y.ex., teknik (maskin osv)",,"Further Qualification in Technology (Metalwork, Heating and Ventilation, Vehicles, Electrics, IT, Chemistry, Wood Industry and Surface Treatment)",01.01.1997,
354100,"Kone- ja metallialan ammattitutkinto","Yrkesexamen inom maskin- och metallbranschen","FQ in Metalwork, Machinery",,"Kone- ja metallialan at",,"Y.ex. inom maskin- o metallbr.",,"Further Qualification in Metalwork and Machinery",01.01.1997,
354101,"Hitsaajan ammattitutkinto","Svetsare, yrkesexamen","Welder, FQ",,"Hitsaajan at",,"Svetsare, y.ex.",,"Welder, Further Qualification",01.01.1997,
354102,"Kivimiehen ammattitutkinto","Stenarbetare, yrkesexamen","Stonecutting, FQ",,"Kivimiehen at",,"Stenarbetare, y.ex.",,"Stonecutting, Further Qualification",01.01.1997,
354103,"Koneenasentajan ammattitutkinto","Maskinmontör, yrkesexamen","Mechanical Fitter, FQ",,"Koneenasentajan at",,"Maskinmontör, y.ex.",,"Mechanical Fitter, Further Qualification",01.01.1997,
354104,"Koneistajan ammattitutkinto","Verkstadsmekaniker, yrkesexamen","Machinist, FQ",,"Koneistajan at",,"Verkstadsmekan., y.ex.",,"Machinist, Further Qualification",01.01.1997,
354105,"Levytekniikan ammattitutkinto: levyseppä-hitsaajan ammattitutkinto","Skivteknik, yrkesexamen: plåtslagare-svetsare, yrkesexamen","Plate and Sheet Metal Tech, FQ",,"Levytekniikan at",,"Skivteknik, y.ex.",,"Plate and Sheet Metal Technology, Further Qualification",01.01.1997,
354106,"Lukkosepän ammattitutkinto","Låssmed, yrkesexamen","Locksmith, FQ",,"Lukkosepän at",,"Låssmed, y.ex.",,"Locksmith, Further Qualification",01.01.1997,
354107,"Rakennuspeltisepän ammattitutkinto","Byggnadsplåtslagare, yrkesexamen","Constr. Sheet-Metal Worker, FQ",,"Rakennuspeltisepän at",,"Byggnadsplåtslagare, y.ex.",,"Construction Sheet-Metal Worker, Further Qualification",01.01.1997,
354108,"Valajan ammattitutkinto","Avgjutare, yrkesexamen","Casting Technology, FQ",,"Valajan at",,"Avgjutare, y.ex.",,"Casting Technology, Further Qualification",01.01.1997,
354109,"Valumallin valmistajan ammattitutkinto","Framställare av gjutmodeller, yrkesexamen","Foundry Patternmaking, FQ",,"Valumallin valmistajan at",,"Framst. av gjutmodeller, y.ex.",,"Foundry Patternmaking, Further Qualification",01.01.1997,
354110,"Metallien jalostuksen ammattitutkinto: perusmetalliteollisuuden ammattitutkinto","Metallförädling, yrkesexamen: basmetallindustrin, yrkesexamen","Base Metal Industry, FQ",,"Metallien jalostuksen at",,"Metallförädling, y.ex.",,"Base Metal Industry, Further Qualification",01.01.1999,
354111,"Hissiasentajan ammattitutkinto","Hissmontör, yrkesexamen","Lift Mechanic, FQ",,"Hissiasentajan at",,"Hissmontör, y.ex.",,"Lift Mechanic, Further Qualification",01.01.1999,
354112,"Työvälinevalmistajan ammattitutkinto","Verktygstillverkare, yrkesexamen","Instrument Maker, FQ",,"Työvälinevalmistajan at",,"Verktygstillverkare, y.ex.",,"Instrument Maker, Further Qualification",01.01.2000,
354113,"Kaivosalan ammattitutkinto","Gruvbranschen, yrkesexamen","Mining, FQ",,"Kaivosalan at",,"Gruvbr., y.ex.",,"Mining, Further Qualification",01.01.2002,
354114,"Laivanrakentajan ammattitutkinto","Skeppsbyggare/fartygsbyggare, yrkesexamen","Ship-Building, FQ",,"Laivanrakentajan at",,"Skeppsbyggare, y.ex.",,"Ship-Building, Further Qualification",01.01.2002,
354115,"Kunnossapidon ammattitutkinto","Underhåll, yrkesexamen","Maintenance, FQ",,"Kunnossapidon at",,"Underhåll, y.ex.",,"Maintenance, Further Qualification",01.01.2007,
354199,"Muu tai tuntematon kone- ja metallialan ammattitutkinto","Annan eller okänd yrkesexamen inom maskin- och metallbranschen","Other FQ in Metalwork",,"Muu kone- ja metallialan at",,"Ann. y.ex., mask.- o metallbr.",,"Other or Unknown Further Qualification in Metalwork and Machinery",01.01.1997,
354200,"LVI-alan ammattitutkinto","Yrkesexamen inom VVS-branschen","FQ in Heating, Ventilation",,"LVI-alan at",,"Y.ex. inom VVS-br.",,"Further Qualification in Heating and Ventilation Engineering",01.01.1997,
354201,"Ilmastointiasentajan ammattitutkinto","Ventilationsmontör, yrkesexamen","Ventilation Pipefitter, FQ",,"Ilmastointiasentajan at",,"Ventilationsmontör, y.ex.",,"Ventilation Pipefitter, Further Qualification",01.01.1997,
354202,"Kaukolämpöasentajan ammattitutkinto","Fjärrvärmemontör, yrkesexamen","District Heating Fitter, FQ",,"Kaukolämpöasentajan at",,"Fjärrvärmemontör, y.ex.",,"District Heating Fitter, Further Qualification",01.01.1997,
354203,"Kiinteistöhoitajan ammattitutkinto","Fastighetsskötare, yrkesexamen","Property Maint. Operative, FQ",,"Kiinteistöhoitajan at",,"Fastighetsskötare, y.ex.",,"Property Maintenance Operative, Further Qualification",01.01.1997,
354205,"Kylmäasentajan ammattitutkinto: kylmälaiteasentajan ammattitutkinto","Kylmontör, yrkesexamen","Refrigeration Fitting, FQ",,"Kylmäasentajan at",,"Kylmontör, y.ex.",,"Refrigeration Fitting, Further Qualification",01.01.1997,
354206,"Nuohoojan ammattitutkinto","Sotare, yrkesexamen","Chimneysweep, FQ",,"Nuohoojan at",,"Sotare, y.ex.",,"Chimneysweep, Further Qualification",01.01.1997,
354207,"Putkiasentajan ammattitutkinto","Rörmontör, yrkesexamen","Pipefitter, FQ",,"Putkiasentajan at",,"Rörmontör, y.ex.",,"Pipefitter, Further Qualification",01.01.1997,
354208,"Putkieristäjän ammattitutkinto","Rörisolerare, yrkesexamen","Pipe Insulation, FQ",,"Putkieristäjän at",,"Rörisolerare, y.ex.",,"Pipe Insulation, Further Qualification",01.01.1997,
354209,"Teknisen eristäjän ammattitutkinto","Teknisk isolerare, yrkesexamen","Technical Insulation, FQ",,"Teknisen eristäjän at",,"Teknisk isolerare, y.ex.",,"Technical Insulation, Further Qualification",01.01.1997,
354210,"Teollisuuseristäjän ammattitutkinto","Industriisolerare, yrkesexamen","Industrial Insulation, FQ",,"Teollisuuseristäjän at",,"Industriisolerare, y.ex.",,"Industrial Insulation, Further Qualification",01.01.1997,
354211,"Teollisuusputkiasentajan ammattitutkinto","Rörmontor inom industrin, yrkesexamen","Industrial Pipefitter, FQ",,"Teollisuusputkiasentajan at",,"Rörmontor inom ind., y.ex.",,"Industrial Pipefitter, Further Qualification",01.01.1999,
354212,"Ilmastointijärjestelmien puhdistajan ammattitutkinto","Rengörare av ventilationssystem, yrkesexamen","Ventilation System Clean., FQ",,"Ilmastointijärj. puhd. at",,"Rengörare av vent.syst., y.ex.",,"Ventilation System Cleaning, Further Qualification",01.01.2003,
354299,"Muu tai tuntematon LVI-alan ammattitutkinto","Annan eller okänd yrkesexamen inom VVS-branschen","Other FQ in Heating, Ventil.",,"Muu LVI-alan at",,"Ann. y.ex. inom VVS-br.",,"Other or Unknown Further Qualification in Heating and Ventilation Engineering",01.01.1997,
354300,"Auto- ja kuljetusalan ammattitutkinto","Yrkesexamen inom bil- och transportbranschen","FQ in Vehicles, Transportation",,"Auto- ja kuljetusalan at",,"Y.ex. inom bil- o transportbr.",,"Further Qualification in Vehicles and Transportation",01.01.1997,
354301,"Ajoneuvonosturinkuljettajan ammattitutkinto","Fordonskranförare, yrkesexamen","Vehicle Crane Operator, FQ",,"Ajoneuvonosturinkuljettajan at",,"Fordonskranförare, y.ex.",,"Vehicle Crane Operator, Further Qualification",01.01.1997,
354302,"Autokorimekaanikon ammattitutkinto","Karosseri- och bilplåtsmekaniker, yrkesexamen","Vehicle Body Mechanic, FQ",,"Autokorimekaanikon at",,"Kaross.- o bilpl.mekan., y.ex.",,"Vehicle Body Mechanic, Further Qualification",01.01.1997,
354303,"Automekaanikon ammattitutkinto","Bilmekaniker, yrkesexamen","Vehicle Mechanic, FQ",,"Automekaanikon at",,"Bilmekaniker, y.ex.",,"Vehicle Mechanic, Further Qualification",01.01.1997,
354305,"Autosähkömekaanikon ammattitutkinto","Bilelmekaniker, yrkesexamen","Vehicle Electrician, FQ",,"Autosähkömekaanikon at",,"Bilelmekaniker, y.ex.",,"Vehicle Electrician, Further Qualification",01.01.1997,
354306,"Dieselmekaanikon ammattitutkinto","Dieselmekaniker, yrkesexamen","Diesel Mechanic, FQ",,"Dieselmekaanikon at",,"Dieselmekaniker, y.ex.",,"Diesel Mechanic, Further Qualification",01.01.1997,
354307,"Automaalarin ammattitutkinto: erikoisautomaalarin ammattitutkinto","Billackerare, yrkesexamen: specialbillackerare, yrkesexamen","Vehicle Painter, FQ",,"Automaalarin at",,"Billackerare, y.ex.",,"Vehicle Painter, Further Qualification",01.01.1997,
354308,"Maanrakennuskoneenkuljettajan ammattitutkinto","Jordschaktningsmaskinförare, yrkesexamen","Earthmover Driver, FQ",,"Maanrakennuskoneenkulj. at",,"Jordschaktn.maskinf., y.ex.",,"Earthmover Driver, Further Qualification",01.01.1997,
354309,"Pienkonemekaanikon ammattitutkinto","Småmaskinsinstallatör, yrkesexamen","Small Machinery Mechanic, FQ",,"Pienkonemekaanikon at",,"Småmaskinsinstall., y.ex.",,"Small Machinery Mechanic, Further Qualification",01.01.1997,
354310,"Raskaskalustomekaanikon ammattitutkinto","Tungmaterielsmekaniker, yrkesexamen","Heavy Vehicle Mechanic, FQ",,"Raskaskalustomekaanikon at",,"Tungmaterielsmekan., y.ex.",,"Heavy Vehicle Mechanic, Further Qualification",01.01.1997,
354311,"Maatalouskoneasentajan ammattitutkinto","Lantbruksmaskinmontör, yrkesexamen","Agricultural Mechanic, FQ",,"Maatalouskoneasentajan at",,"Lantbruksmaskinmontör, y.ex.",,"Agricultural Mechanic, Further Qualification",01.01.1999,
354312,"Henkilöautomekaanikon ammattitutkinto","Personbilsmekaniker, yrkesexamen","Car Mechanics, FQ",,"Henkilöautomekaanikon at",,"Personbilsmekaniker, y.ex.",,"Car Mechanics, Further Qualification",01.01.2006,
354313,"Lentokonetekniikan ammattitutkinto","Flygplansmekanik, yrkesexamen","Aircraft Technology, FQ",,"Lentokonetekniikan at",,"Flygplansmekanik, y.ex.",,"Aircraft Technology, Further Qualification",01.01.2011,
354314,"Rengasalan ammattitutkinto","Däckbranschen, yrkesexamen","Tyre Industry, FQ",,"Rengasalan at",,"Däckbranschen, y.ex.",,"Tyre Industry, Further Qualification",01.01.2011,
354399,"Muu tai tuntematon auto- ja kuljetusalan ammattitutkinto","Annan eller okänd yrkesexamen inom bil- och transportbranschen","Other FQ in Vehicles, Transp.",,"Muu auto- ja kuljetusalan at",,"Ann. y.ex., bil- o transp.br.",,"Other or Unknown Further Qualification in Vehicles and Transportation",01.01.1997,
354400,"Sähköalan ammattitutkinto","Yrkesexamen inom elbranschen","FQ in Electrical Engineering",,"Sähköalan at",,"Y.ex. inom elbr.",,"Further Qualification in Electrical Engineering",01.01.1997,
354401,"Automaatioasentajan ammattitutkinto","Automationsmontör, yrkesexamen","Automation Assembler, FQ",,"Automaatioasentajan at",,"Automationsmontör, y.ex.",,"Automation Assembler, Further Qualification",01.01.1997,
354402,"Elektroniikka-asentajan ammattitutkinto","Elektronikmontör, yrkesexamen","Electronics Assembler, FQ",,"Elektroniikka-asentajan at",,"Elektronikmontör, y.ex.",,"Electronics Assembler, Further Qualification",01.01.1997,
354403,"Kotitalouskoneasentajan ammattitutkinto","Installatör av hushållsmaskiner, yrkesexamen","Household Appliance Fitter, FQ",,"Kotitalouskoneasentajan at",,"Install. av hush.mask., y.ex.",,"Household Appliance Fitter, Further Qualification",01.01.1997,
354404,"Lämmityslaiteasentajan ammattitutkinto","Värmeelementsmontör, yrkesexamen","Heating Equipment Fitter, FQ",,"Lämmityslaiteasentajan at",,"Värmeelementsmontör, y.ex.",,"Heating Equipment Fitter, Further Qualification",01.01.1997,
354405,"Sähköasentajan ammattitutkinto","Elmontör, yrkesexamen","Electrician, FQ",,"Sähköasentajan at",,"Elmontör, y.ex.",,"Electrician, Further Qualification",01.01.1997,
354406,"Sähköverkkoasentajan ammattitutkinto: sähkölaitosasentajan ammattitutkinto","Elnätsmontör, yrkesexamen: Elverksmontör, yrkesexamen","Electrical Network Eng., FQ",,"Sähköverkkosasentajan at",,"Elnätsmontör, y.ex.",,"Electrical Network Engineering, Further Qualification",01.01.1997,
354407,"Elektroniikka- ja sähköteollisuuden ammattitutkinto","Elektronik- och elindustrin, yrkesexamen","Eletronics, Power Industry, FQ",,"Elektron.- ja sähköteoll. at",,"Elektronik- och elind., y.ex.",,"Eletronics and Power Industry, Further Qualification",01.01.1999,
