"ARVO","NIMI_FI","NIMI_SV","NIMI_EN","KUVAUS_FI","LYHYTNIMI_FI","KUVAUS_SV","LYHYTNIMI_SV","KUVAUS_EN","LYHYTNIMI_EN","ALKUPVM","LOPPUPVM"
652401,"Laboratorioanalyytikko (AMK)","Laboratorieanalytiker (YH)","BEng (Poly), Lab. Service",,"Laboratorioanalyytikko (AMK)",,"Laboratorieanalytiker (YH)",,"Bachelor of Laboratory Services (Polytechnic)",01.01.1998,
652501,"Rakennusarkkitehti (AMK)",,"Bachelor of Construction Achitect",,,,,,"Bachelor of Construction Achitect",01.01.2014,
652900,"Muu tekniikan ammattikorkeakoulututkinto","Annan yrkeshögskoleexamen i teknik","Other Bach (Poly), Technology",,"Muu tekniikan AMK",,"Ann. y.h.ex. i teknik",,"Other Polytechnic Bachelor's Degree in Technology",01.01.1997,
652999,"Muu tai tuntematon tekniikan ammattikorkeakoulututkinto","Annan eller okänd yrkeshögskoleexamen i teknik","Other Bach (Poly), Technology",,"Muu tekniikan AMK",,"Ann. y.h.ex. i teknik",,"Other or Unknown Polytechnic Bachelor's Degree in Technology",01.01.1997,
653000,"Insinööri","Ingenjör","Engineer",,"Insinööri",,"Ingenjör",,"Engineer",01.01.1997,
653100,"Insinööri, konetekniikka, energiatekniikka ja kuljetustekniikka","Ingenjör, maskinteknik, energiteknik och transportteknik","Eng., Mechanics, Energy Eng.",,"Ins., kone, energia ym.",,"Ingenjör, maskinteknik",,"Engineer, Mechanical Engineering, Energy Engineering and Transport Engineering",01.01.1997,
653101,"Insinööri, konetekniikka","Ingenjör, maskinteknik","Eng., Mechanics",,"Ins., konetekniikka",,"Ingenjör, maskinteknik",,"Engineer, Mechanical Engineering",01.01.1997,
653102,"Insinööri, energiatekniikka","Ingenjör, energiteknik","Eng., Energy Eng.",,"Ins., energiatekniikka",,"Ingenjör, energiteknik",,"Engineer, Energy Engineering",01.01.1997,
653103,"Insinööri, LVI-tekniikka","Ingenjör, VVS-teknik","Eng., Heating, Ventilation",,"Ins., LVI-tekniikka",,"Ingenjör, VVS-teknik",,"Engineer, Heating and Ventilation Engineering",01.01.1997,
653104,"Insinööri, kuljetustekniikka","Ingenjör, transportteknik","Eng., Transportation",,"Ins., kuljetustekniikka",,"Ingenjör, transp.tekn.",,"Engineer, Transportation Engineering",01.01.1997,
653200,"Insinööri, sähkötekniikka ja automaatiotekniikka","Ingenjör, elektroteknik och automationsteknik","Eng., Electrical Eng.",,"Ins., sähkö, automaatio",,"Ingenjör, el- o autom.",,"Engineer, Electrical Engineering and Automation Engineering",01.01.1997,
