"KOODIARVO","NIMI_FI","NIMI_SV","ALKUPVM","LOPPUPVM"
"73910","Käsinoikaisija (terästuotteet)","Handriktare (stålvaror)",19.5.2011,
"73910","Puristinoikaisija (terästuotteet)","Pressriktare (stålvaror)",19.5.2011,
"73920","Leikkaaja (metalliteollisuus)","Plåtskärare (metallindustri)",19.5.2011,
"73920","Levynsahaaja","Plåtsågare",19.5.2011,
"73920","Ritsaaja (metalliteollisuus)","Plåtritsare (metallindustri)",19.5.2011,
"73930","Kelaaja (metalliteollisuus)","Hasplare (metallindustri)",19.5.2011,
"73930","Puolaaja (metalliteollisuus)","Spolare (metallindustri)",19.5.2011,
"73940","Peittaaja (metalliteollisuus)","Betare (metallindustri)",19.5.2011,
"73950","Hiekkapuhaltaja (metalliteollisuus)","Blästrare (metallindustri)",19.5.2011,
"73950","Metalliraepuhaltaja","Kulblästrare",19.5.2011,
"01","Kemian ja fysiikan ala","Kemiskt och fysikaliskt arbete",19.5.2011,
"73950","Suihkupuhdistaja","Slungrensare",19.5.2011,
"73960","Vetorenkaiden asettaja","Skivställare",19.5.2011,
"73970","Tangonpuristaja","Strängpressare",19.5.2011,
"73990","Muut takomo- ja valimotyön tekijät","Övriga smides- och gjuteriarbete",19.5.2011,
"73990","Jäähdytyskuopanhoitaja","Svalbäddsskötare",19.5.2011,
"73990","Naulantekijä","Spikklippare",19.5.2011,
"73990","Terästuotteiden tarkastaja","Avsynare av stålprodukter",19.5.2011,
"73990","Valanteenhioja","Götslipare",19.5.2011,
"73990","Valanteentarkastaja","Götsynare",19.5.2011,
"74","Hienomekaniikka","Finmekanik",19.5.2011,
"010","Kemistit","Kemister",19.5.2011,
"741","Hienomekaanikot","Finmekaniker",19.5.2011,
"74110","Instrumentintekijä, hienomekaanikko","Instrumentmakare, finmekaniker",19.5.2011,
"74110","Hienomekaanikko","Finmekaniker",19.5.2011,
"74110","Instrumentintekijä","Instrumentmakare",19.5.2011,
"74120","Instrumenttiasentaja (hienomekaniikka)","Instrumentreparatör (finmekanik)",19.5.2011,
"74120","Kamerankorjaaja","Kamerareparatör",19.5.2011,
"74120","Mittarinsäätäjä","Mätarjusterare",19.5.2011,
"74120","Mittalaitteiden huoltaja","Serviceman (mätinstrument)",19.5.2011,
"74130","Kokooja (hienomekaaninen työ)","Finmekaniker-hopsättare",19.5.2011,
"74130","Instrumentinkokooja","Instrumentmontör",19.5.2011,
"01010","Kemisti","Kemist",19.5.2011,
"74190","Muut hienomekaanikot","Övriga finmekaniker",19.5.2011,
"74190","Hienomekaanisten tuotteiden tarkastaja","Avsynare (finmekaniska produkter)",19.5.2011,
"74190","Laitosmies (hienomekaaninen työ)","Maskinist (finmekaniskt arbete)",19.5.2011,
"74190","Säätäjä (hienomekaaninen työ)","Justerare (finmekaniskt arbete)",19.5.2011,
"742","Kellosepät","Urmakare",19.5.2011,
"74210","Kelloseppä","Urmakare",19.5.2011,
"74290","Muut kellosepät","Övriga urmakare",19.5.2011,
"743","Kulta- ja hopeasepät","Guld- och silversmeder",19.5.2011,
"74310","Kultaseppä","Guldsmed",19.5.2011,
"74310","Hopeaseppä","Silversmed",19.5.2011,
"01010","Geokemisti","Geokemist",19.5.2011,
"74320","Jalokivenhioja","Ädelstensslipare",19.5.2011,
"74330","Jalokivenistuttaja","Juvelfattare",19.5.2011,
"74340","Pakottaja (jalometalli)","Ciselör (ädelmetall)",19.5.2011,
"74350","Emaloija (kultasepän tuotteet)","Emaljör (guldsmed)",19.5.2011,
"74390","Muut kulta- ja hopeasepät","Övriga guld- och silvermeder",19.5.2011,
"74390","Vaihetyöntekijä (kulta- ja hopeasepäntuotteet)","Momentarbetare/Tempoarbetare (guld- o. silversmed)",19.5.2011,
"74390","Kulta- ja hopeatuotteiden tarkastaja","Avsynare av guld- och silvervaror",19.5.2011,
"744","Kaivertajat","Gravörer",19.5.2011,
"74410","Kiiltokaivertaja","Blanksticksgravör",19.5.2011,
"74420","Konekaivertaja","Maskingravör",19.5.2011,
"01010","Tutkija (kemia)","Forskare (kemi)",19.5.2011,
"74420","Leimasinkaivertaja","Stämpelgravör",19.5.2011,
"74420","Meistinkaivertaja","Stansgravör",19.5.2011,
"74490","Muut kaivertajat","Övriga gravörer",19.5.2011,
"749","Muu hienomekaaninen työ","Övrigt finmekaniskt arbete",19.5.2011,
"74990","Muut hienomekaanisen työn tekijät","Övriga inom finmekanik",19.5.2011,
"75","Konepaja- ja rakennusmetalli","Verkstads- och byggnadsmetall",19.5.2011,
"751","Koneistajat ja työkaluntekijät","Verkstadsmekaniker och verktygsmakare",19.5.2011,
"75105","Koneistaja","Verkstadsmekaniker (all round)",19.5.2011,
"75105","CNC-koneistaja","CNC-maskinoperatör",19.5.2011,
"75105","NC-koneistaja","NC-maskinoperatör",19.5.2011,
"01010","Laboratorionjohtaja (kemia)","Laboratoriechef (kemi)",19.5.2011,
"75105","Koetyöntekijä","Experimentarbetare",19.5.2011,
"75110","Työkalunvalmistaja","Verktygsmakare",19.5.2011,
"75110","Lierintekijä","Brättmakare",19.5.2011,
"75110","Meistintekijä","Stansmakare",19.5.2011,
"75110","Muotintekijä (työkalunteko)","Modellmakare (verktyg)",19.5.2011,
"75110","Ohjaimentekijä","Jiggmakare",19.5.2011,
"75115","Viilaaja","Filare",19.5.2011,
"75115","Työkaluviilaaja","Verktygsfilare",19.5.2011,
"75120","Piirrottaja","Ritsare",19.5.2011,
"75125","Koneenasettaja (työstökoneet)","Maskinställare (bearbetningsmaskin)",19.5.2011,
"01020","Projektipäällikkö (kemian ala)","Projektchef (kemi)",19.5.2011,
"75130","NC-operaattori","NC-operatör",19.5.2011,
"75130","NC-koneiden käyttäjä-ohjelmoija (metalli)","NC-operatör-programmerare (metall)",19.5.2011,
"75130","CNC-koneiden käyttäjä-ohjelmoija (metalli)","CNC-operatör-programmerare (metall)",19.5.2011,
"75135","Sorvaaja (metallityö)","Svarvare (metallarbete)",19.5.2011,
"75135","Karusellisorvaaja","Karusellsvarvare",19.5.2011,
"75135","Kelkkasorvaaja","Supportsvarvare",19.5.2011,
"75135","Kärkisorvaaja","Dubbsvarvare",19.5.2011,
"75135","Revolverisorvaaja","Revolversvarvare",19.5.2011,
"75135","Työkalusorvaaja","Verktygssvarvare",19.5.2011,
"75135","Valssinsorvaaja","Valssvarvare",19.5.2011,
"01020","Laboratorioinsinööri (kemia)","Laboratorieingenjör (kemi)",19.5.2011,
"75135","CNC-sorvaaja","CNC-svarvare",19.5.2011,
"75140","Jyrsijä (metallityö)","Fräsare (metallarbete)",19.5.2011,
"75145","Aarporaaja","Arborrare",19.5.2011,
"75145","Avarrusporaaja","Arborrare",19.5.2011,
"75150","Ohjainporaaja","Jiggborrare",19.5.2011,
"75150","Penkkiporaaja","Bänkborrare",19.5.2011,
"75150","Poraaja (metalli)","Borrare (metall)",19.5.2011,
"75150","Pylväsporaaja","Pelarborrare",19.5.2011,
"75150","Säteisporaaja","Radialborrare",19.5.2011,
"75150","CNC-poraaja","CNC-borrare",19.5.2011,
"01030","Sairaalakemisti","Sjukhuskemist",19.5.2011,
"75150","Metalliporaaja","Metallborrare",19.5.2011,
"75155","Metallihöylääjä","Metallhyvlare",19.5.2011,
"75155","Hammashöylääjä","Kugghyvlare",19.5.2011,
"75155","Höylääjä (metalli)","Hyvlare (metall)",19.5.2011,
"75155","Tasohöylääjä","Bordhyvlare",19.5.2011,
"00130","Tiemestari","Vägmästare",19.5.2011,
"75155","Uurtaja (metalli)","Kippare (metall)",19.5.2011,
"75160","Metallihioja","Metallslipare",19.5.2011,
"75160","Keskiöhioja","Centerlesslipare",19.5.2011,
"75160","Merkelöijä","Smärglare",19.5.2011,
"75160","Pyöröhioja","Rundslipare",19.5.2011,
"01040","Biokemisti","Biokemist",19.5.2011,
"75160","Smirkelöijä","Smärglare",19.5.2011,
"75160","Tasohioja","Planslipare",19.5.2011,
"75160","Työkaluhioja","Verktygsslipare",19.5.2011,
"75160","Valssihioja","Valsslipare",19.5.2011,
"75165","Konetyöntekijä (työstökoneet)","Maskinskötare (bearbetningsmaskin)",19.5.2011,
"75165","Koneistuskeskuksen käyttäjä (metalliteollisuus)","Maskinanläggningsoperatör (metallindustri)",19.5.2011,
"75190","Muut koneistajat ja työkaluntekijät","Övriga verkstadsmekaniker och verktygsmakare",19.5.2011,
"75190","Työstöosaston tarkastaja","Avsynare vid bearbetningsavdelning",19.5.2011,
"75190","Viilanhakkaaja","Filhuggare",19.5.2011,
"752","Koneenasentajat","Maskinmontörer",19.5.2011,
"01090","Muut kemian alan työntekijät","Övriga anställda onom kemibranschen",19.5.2011,
"75210","Koneenasentaja","Maskinmontör",19.5.2011,
"75210","Asentaja-koneistaja","Montör-verkstadsmekaniker",19.5.2011,
"75210","Vientiasentaja","Exportmontör",19.5.2011,
"75215","Laitosmies (konepaja- ja metalliteollisuus)","Maskinist (verkstads- och metallindustri)",19.5.2011,
"75220","Turbiininasentaja","Turbinmontör",19.5.2011,
"75230","Moottorinasentaja","Motormontör",19.5.2011,
"75230","Automoottorinasentaja","Bilmotormontör",19.5.2011,
"75230","Dieselasentaja","Dieselmontör",19.5.2011,
"75230","Lentokonemoottorinasentaja","Flygmotormontör",19.5.2011,
"75230","Venemoottorinasentaja","Båtmotormontör",19.5.2011,
"01095","Tutkimusapulainen (kemia)","Forskningsbiträde (kemi)",19.5.2011,
"75235","Laivakoneenasentaja","Fartygsmaskinmontör",19.5.2011,
"75240","Lentokoneenasentaja","Flygplansmontör",19.5.2011,
"75240","Lentokoneenkorjaaja","Flygplansreparatör",19.5.2011,
"75250","Asentaja (ajoneuvoteollisuus)","Montör (fordonsindustri)",19.5.2011,
"75250","Vaununasentaja","Vagnmontör",19.5.2011,
"75290","Muut koneenasentajat","Övriga markinmontörer",19.5.2011,
"75290","Asennusosaston tarkastaja","Avsynare vid monteringsavdelning",19.5.2011,
"753","Koneen- ja moottorinkorjaajat","Maskin- och motorreparatörer",19.5.2011,
"75310","Koneenkorjaaja","Maskinreparatör",19.5.2011,
"75315","Turbiininkorjaaja","Turbinreparatör",19.5.2011,
"011","Fyysikot","Fysiker",19.5.2011,
"75320","Autonasentaja (huoltokorjaamo)","Bilmekaniker (serviceverkstad)",19.5.2011,
"75320","Huoltoasentaja","Servicemekaniker",19.5.2011,
"75320","Autohuoltaja","Bilserviceman",19.5.2011,
"75322","Raskaan autokaluston asentaja","Bilmekaniker (tung materiel)",19.5.2011,
"75325","Maarakennuskoneenasentaja","Anläggningsmaskinmekaniker",19.5.2011,
"75325","Maarakennuskoneenkorjaaja","Anläggningsmaskinreparatör",19.5.2011,
"75330","Maatalouskoneenkorjaaja","Lantbruksmaskinsreparatör",19.5.2011,
"75335","Moottorinkorjaaja","Motorreparatör",19.5.2011,
"75335","Autonmoottorinkorjaaja","Bilmotorreparatör",19.5.2011,
"75335","Dieselmoottorinkorjaaja","Dieselmotorreparatör",19.5.2011,
"01110","Fyysikko","Fysiker",19.5.2011,
"75335","Veneenmoottorinkorjaaja","Båtmotorreparatör",19.5.2011,
"75335","Lentokoneenmoottorinkorjaaja","Flygplansmotorreparatör",19.5.2011,
"75340","Moottoripyöränkorjaaja","Motorcykelreparatör",19.5.2011,
"75340","Pienkoneasentaja","Maskinreparatör (mindre maskiner)",19.5.2011,
"75345","Polkupyöränkorjaaja","Cykelreparatör",19.5.2011,
"75350","Vaununkorjaaja","Vagnsreparatör",19.5.2011,
"75350","Vaununtarkastaja","Vagnsinspektör",19.5.2011,
"75360","Rasvaaja (koneenkorjaus)","Smörjare (maskinreparation)",19.5.2011,
"75360","Vaununvoitelija","Vagnssmörjare",19.5.2011,
"75365","Huoltokorjaamon työntekijä","Servicestationsarbetare",19.5.2011,
"01110","Tutkija (fysiikka)","Forskare (fysik)",19.5.2011,
"75365","Alustanhuoltaja","Underredsbehandlare",19.5.2011,
"75365","Autonrasvaaja","Bilsmörjare",19.5.2011,
"75365","Ruosteenestokäsittelijä","Rostskyddsbehandlare",19.5.2011,
"75365","Autonpesijä (vapaasatama)","Biltvättare (frihamn)",19.5.2011,
"75365","Rengasasentaja","Däckmontör",19.5.2011,
"75370","Hydrauliikka-pneumatiikka-asentaja","Montör (hydraulik-pneumatik)",19.5.2011,
"75375","Autonlasittaja","Bilglasmästare",19.5.2011,
"75375","Kulkuneuvolasittaja","Fordonsglasmästare",19.5.2011,
"75375","Lentokoneenlasittaja","Flygplansglasmästare",19.5.2011,
"75390","Muut koneen- ja moottorinkorjaajat","Övriga maskin- och motorreparatörer",19.5.2011,
"01110","Laboratoriojohtaja (fysiikka)","Laboratoriechef (fysik)",19.5.2011,
"75390","Korjaamon tarkastaja","Avsynare vid verkstad",19.5.2011,
"75390","Laitosmies (sairaala)","Sjukhusmaskinist",19.5.2011,
"754","Levysepät","Plåtslagare",19.5.2011,
"75410","Ohutlevyseppä","Tunnplåtslagare",19.5.2011,
"75410","Meistäjä (ohutlevy)","Stansare (tunnplåt)",19.5.2011,
"75410","Niittaaja","Nitare",19.5.2011,
"75410","Ohentaja (levyseppä)","Plåttunnare",19.5.2011,
"75410","Pellinpuristaja","Plåtspressare",19.5.2011,
"75410","Peltiseppä","Plåtslagare",19.5.2011,
"75415","Särmääjä","Bockare",19.5.2011,
"01120","Laboratorioinsinööri (fysiikka)","Laboratorieingenjör (fysik)",19.5.2011,
"75420","Rakennuspeltiseppä","Byggnadsplåtslagare",19.5.2011,
"75420","Ilmastointipeltiseppä","Ventilationsplåtslagare",19.5.2011,
"75420","Kattopeltiseppä","Takplåtslagare",19.5.2011,
"75420","Kupariseppä","Kopparslagare",19.5.2011,
"75430","Autopeltiseppä","Bilplåtslagare",19.5.2011,
"75430","Koripeltiseppä","Karosseriplåtslagare",19.5.2011,
"75440","Lentokonelevyseppä","Flygplansplåtslagare",19.5.2011,
"75450","Merkitsijä (metalliteollisuus)","Uppmärkare (metallindustri)",19.5.2011,
"75450","Uloslyöjä (konepaja)","Utslagsman (verkstad)",19.5.2011,
"75460","Paksulevyseppä, laivalevyseppä","Grovplåtslagare, fartygsplåtslagare",19.5.2011,
"01120","Projektipäällikkö (fysiikan ala)","Projektchef (fysik)",19.5.2011,
"75460","Levyseppä","Plåtslagare",19.5.2011,
"75460","Runkoasentaja (laivanrakennus)","Skrovmontör (fartyg)",19.5.2011,
"75460","Tasolohkoasentaja (laivanrakennus)","Plansektionsmontör (fartyg)",19.5.2011,
"75465","Levyseppä-hitsaaja","Plåtslagare-svetsare",19.5.2011,
"75470","Muotorautatyöntekijä","Stålkonstruktionsmontör",19.5.2011,
"75470","Teräsrakenneasentaja","Stålkonstruktionsmontör",19.5.2011,
"75470","Rautarakennetyöntekijä","Järnkonstruktionsarbetare",19.5.2011,
"75490","Muut levysepät","Övriga plåtslagare",19.5.2011,
"75490","Paksulevyniittaaja","Grovplåtnitare",19.5.2011,
"75490","Peltityöntekijä","Plåtarbetare",19.5.2011,
"01130","Sairaalafyysikko","Sjukhusfysiker",19.5.2011,
"75490","Peltitöiden tarkastaja","Avsynare av plåtprodukter",19.5.2011,
"75490","Tiivistäjä (metallirakenteiden)","Diktare (metall)",19.5.2011,
"755","Putkityöntekijät","Rörarbetare",19.5.2011,
"75510","LVI-asentaja","VVS-montör",19.5.2011,
"75510","Lämpöjohtoasentaja","Värmeledningsmontör",19.5.2011,
"00130","Talonrakennusteknikko","Husbyggnadstekniker",19.5.2011,
"75514","Ilmastointiasentaja","Ventilationsmontör",19.5.2011,
"75516","Putkiasentaja","Rörmontör",19.5.2011,
"75516","Rakennusputkiasentaja","Byggnadsrörmontör",19.5.2011,
"75520","Teollisuusputkiasentaja","Industrirörmontör",19.5.2011,
"75520","Putkiverkostoasentaja","Rörnätsmontör",19.5.2011,
"01190","Muut fysiikan alan työntekijät","Övriga anställda inom fysikbranschen",19.5.2011,
"75520","Laivaputkiasentaja","Fartygsrörmontör",19.5.2011,
"75530","Kylmäkoneasentaja","Kylmontör",19.5.2011,
"75530","Jäähdytyskoneasentaja","Kylmontör",19.5.2011,
"75535","Öljypoltinasentaja","Oljeeldningsmontör",19.5.2011,
"75540","Säiliönkorjaaja","Cisternreparatör",19.5.2011,
"75590","Muut putkityöntekijät","Övriga rörarbetare",19.5.2011,
"75590","Kaasumittarinasentaja","Gasmätaruppsättare",19.5.2011,
"75590","Vesimittarinasentaja","Vattenmätaruppsättare",19.5.2011,
"756","Hitsaajat, kaasuleikkaajat","Svetsare, gasskärare",19.5.2011,
"75610","Hitsaaja","Svetsare",19.5.2011,
"01195","Tutkimusapulainen (fysiikka)","Forskningsbiträde (fysik)",19.5.2011,
"75610","Kaasuhitsaaja","Gassvetsare",19.5.2011,
"75610","Puikkohitsaaja","Elektrodsvetsare",19.5.2011,
"75610","Luokkahitsaaja","Klassvetsare",19.5.2011,
"75610","Laivahitsaaja","Fartygssvetsare",19.5.2011,
"75612","Mig-hitsaaja","Mig-svetsare",19.5.2011,
"75614","Tig-hitsaaja","Tig-svetsare",19.5.2011,
"75620","Putkihitsaaja","Rörsvetsare",19.5.2011,
"75630","Automaattihitsaaja","Automatsvetsare",19.5.2011,
"75630","Kone-sähköhitsaaja","Maskin-elsvetsare",19.5.2011,
"75630","Pistehitsaaja","Punktsvetsare",19.5.2011,
"012","Laborantit, laboratorioapulaiset","Laboranter, laboratoriebiträden",19.5.2011,
"75630","Robottihitsaaja","Robotsvetsare",19.5.2011,
"75630","Kaarihitsaaja","Bågsvetsare",19.5.2011,
"75640","Kaasuleikkaaja, polttoleikkaaja","Gasskärare, brännskärare",19.5.2011,
"75640","Kaasuleikkaaja","Gasskärare",19.5.2011,
"75640","Polttoleikkaaja","Brännskärare",19.5.2011,
"75640","Talttaaja","Gasmejslare",19.5.2011,
"75650","Kovajuottaja","Hårdlödare",19.5.2011,
"75660","Pehmeäjuottaja","Mjuklödare",19.5.2011,
"75690","Muut hitsaajat ja kaasuleikkaajat","Övriga svetsare och gasskärare",19.5.2011,
"75690","Metalliliimaaja","Metallimmare",19.5.2011,
"01210","Laborantti (kemia ja fysiikka)","Laborant (kemi och fysik)",19.5.2011,
"757","Konepaja- ja metalliteollisuuden kokoojat","Hopsättare av verkstads- och metallind.produkter",19.5.2011,
"75710","Kokooja (metalliteollisuus)","Hopsättare (metallindustri)",19.5.2011,
"75720","Tuotantotyöntekijä (metalli)","Produktionsarbetare (metall)",19.5.2011,
"75720","Vaihetyöntekijä (metalliteollisuus)","Momentarbetare/Tempoarbetare (metallindustri)",19.5.2011,
"75790","Muut konepaja- ja metalliteoll tuotteiden kokoojat","Övriga hopsättare av verkstads- och metallindustri",19.5.2011,
"758","Metalloijat","Metalliserare",19.5.2011,
"75810","Pintakäsittelijä (metallituote)","Ytbehandlare (metallprodukter)",19.5.2011,
"75810","Fosfatoija","Fosfaterare",19.5.2011,
"75810","Galvanoija","Galvanisör",19.5.2011,
"75810","Hapettaja","Oxiderare",19.5.2011,
"01210","Teollisuuslaborantti","Industrilaborant",19.5.2011,
"75810","Hopeoija","Försilvrare",19.5.2011,
"75810","Kadmioija","Kadmierare",19.5.2011,
"75810","Kromittaja","Förkromare",19.5.2011,
"75810","Kultaaja","Förgyllare",19.5.2011,
"75810","Nikkelöijä","Förnicklare",19.5.2011,
"75810","Sinkittäjä","Förzinkare",19.5.2011,
"75810","Sähköoksidoija","Oxiderare (el)",19.5.2011,
"75820","Silaaja (metalliteollisuus)","Pläterare (metallindustri)",19.5.2011,
"75830","Metallinruiskuttaja","Metallsprutare",19.5.2011,
"75890","Muut metalloijat","Övriga metalliserare",19.5.2011,
"01210","Laboratorioteknikko","Laboratorietekniker",19.5.2011,
"75890","Kuumalyijyttäjä","Varmförblyare",19.5.2011,
"75890","Kuumatinaaja","Varmförtennare",19.5.2011,
"75890","Lyijyjuottaja","Blylödare",19.5.2011,
"75890","Valmisteen tarkastaja (metalliteollisuus)","Avsynare av produkter (metallindustri)",19.5.2011,
"759","Muu konepaja- ja rakennusmetallityö","Övrigt verkstads- och byggnadsmetallarbete",19.5.2011,
"75910","Aseseppä","Vapensmed",19.5.2011,
"75920","Lukkoseppä","Låssmed",19.5.2011,
"75925","Painosorvaaja","Trycksvarvare",19.5.2011,
"75925","Käsinpainaja (sorvaus)","Handtryckare (svarvning)",19.5.2011,
"75925","Supporttipainaja","Supporttryckare",19.5.2011,
"01210","Laboratoriomestari","Laboratoriemästare",19.5.2011,
"75930","Metallipuristaja","Metallpressare",19.5.2011,
"75930","Epäkeskopuristaja","Excenterpressare",19.5.2011,
"75930","Leimaaja (raha, mitali)","Präglare (mynt, medalj)",19.5.2011,
"75930","Meistäjä (metallinpuristus)","Stansare (metallpressning)",19.5.2011,
"75930","Vetopuristaja","Dragpressare",19.5.2011,
"75935","Metallinsahaaja","Metallsågare",19.5.2011,
"75935","Kylmäsahaaja","Kallsågare",19.5.2011,
"75940","Metallikankaankutoja","Metallduksvävare",19.5.2011,
"75940","Viirankutoja","Viravävare",19.5.2011,
"75945","Kiillottaja (metallituote)","Maskinpolerare (metallprodukter)",19.5.2011,
"01220","Sairaalalaborantti","Sjukhuslaborant",19.5.2011,
"75945","Harjaaja","Borstare",19.5.2011,
"75945","Hohkakivihakkaaja","Pimsare",19.5.2011,
"75945","Lumppuhioja","Lumpare",19.5.2011,
"75945","Öljynpoistaja (metalliteollisuus)","Avoljare (metallindustri)",19.5.2011,
"75945","Hioja","Slipare/Läppare",19.5.2011,
"75950","Työkalunteroittaja","Verktygsskärpare",19.5.2011,
"75950","Sahanteroittaja","Sågslipare/Sågskärpare",19.5.2011,
"75950","Teränhioja","Skärslipare",19.5.2011,
"75950","Työkalunhoitaja (metsätalous)","Verktygsvårdare (skogsbruk)",19.5.2011,
"75955","Hajottamon työntekijä","Demontör/Demonteringshallarbetare",19.5.2011,
"01230","Laboratorioapulainen","Laboratoriebiträde",19.5.2011,
"75955","Autonpurkaja","Bildemontör",19.5.2011,
"75955","Autonromuttaja","Bilskrotare",19.5.2011,
"75960","Sälekaihtimenasentaja","Persiennmontör",19.5.2011,
"75960","Markiisinasentaja","Markismontör",19.5.2011,
"75970","Sisustusasentaja (laiva)","Inredningsmontör (fartyg)",19.5.2011,
"75990","Muut konepaja- ja rakennusmetallityön tekijät","Övriga inom verkstads- och byggnadsmetallarbete",19.5.2011,
"75990","Jousenvetäjä","Fjäderspinnare",19.5.2011,
"75990","Metallirakenneasentaja","Metallkonstruktionsmontör",19.5.2011,
"75990","Metallituotteiden lajittelija","Sorterare av metallprodukter",19.5.2011,
"75990","Metallituotteiden tarkastaja","Avsynare av metallprodukter",19.5.2011,
"01230","Tutkimusapulainen (laboratorio)","Forskningsbiträde (laboratorie)",19.5.2011,
"75990","Tasapainottaja (metallituote)","Balanserare (metallprodukter)",19.5.2011,
"75990","Metallityöntekijä","Metallarbetare",19.5.2011,
"76","Sähkö","El",19.5.2011,
"761","Sähköasentajat","Elmontörer",19.5.2011,
"76110","Sähköasentaja (sisäjohtoasennukset)","Installationselektriker (inomhus)",19.5.2011,
"00130","Yhdyskuntatekniikan teknikko","Anläggningstekniker",19.5.2011,
"76110","Valoputkiasentaja","Elskyltsmontör",19.5.2011,
"76120","Teollisuuden sähköasentaja","Industrielektriker",19.5.2011,
"76120","Käyttöasentaja","Driftmontör",19.5.2011,
"76130","Hissinasentaja","Hissmontör",19.5.2011,
"76140","Laivasähköasentaja","Fartygselektriker",19.5.2011,
"01290","Muut laborantit ja laboratorioapulaiset","Övriga laborabter och laboratoriebiträden",19.5.2011,
"76145","Laivasähkömies","Fartygselektriker",19.5.2011,
"76150","Lentokoneiden sähköasentaja","Flyplanselektriker",19.5.2011,
"76150","Sähköasentaja (lentokoneet)","Flyplanselektriker",19.5.2011,
"76160","Ajoneuvojen sähköasentaja","Fordonselektriker",19.5.2011,
"76160","Autosähköasentaja","Bilelektriker",19.5.2011,
"76160","Sähköasentaja (ajoneuvot)","Fordonselektriker",19.5.2011,
"76190","Muut sähköasentajat","Övriga elarbetare",19.5.2011,
"76190","Instrumenttiasentaja (sähkö)","Instrumentmontör (el)",19.5.2011,
"76190","Verkkoasentaja","Nätmontör",19.5.2011,
"762","Sähkökoneenasentajat","Maskinelektriker",19.5.2011,
"013","Geologit","Geologer",19.5.2011,
"76210","Sähkökoneenasentaja (vahvavirta)","Elektromekaniker (starkström)",19.5.2011,
"76220","Kodinkonekorjaaja","Hushållsmaskinsreparatör",19.5.2011,
"76220","Ompelukoneenkorjaaja","Symaskinsreparatör",19.5.2011,
"76290","Muut sähkökoneenasentajat","Övriga elektromekaniker",19.5.2011,
"76290","Sähköteknisten laitteiden huoltaja","Reparatör av elkrafttekniska produkter",19.5.2011,
"76290","Sähköteknisten laitteiden tarkastaja","Avsynare av elkrafttekniska produkter",19.5.2011,
"763","Tietoliikenne- ja elektroniikka-asentajat","Telekommunikations- och elekronikmontörer",19.5.2011,
"76310","Teleasentaja","Telemontör",19.5.2011,
"76310","Opastin- ja turvalaiteasentaja","Signal- och säkerhetsanordningsmontör",19.5.2011,
"76310","Telekorjaaja","Telereparatör",19.5.2011,
"01310","Geofyysikko","Geofysiker",19.5.2011,
"76310","Turvalaiteasentaja","Säkerhetsanordningsmontör",19.5.2011,
"76310","Tutkamekaanikko","Radarmekaniker",19.5.2011,
"76310","Radiopuhelinasentaja","Radiotelefonmontör",19.5.2011,
"76320","Radio- ja TV-asentaja","Radio- och TV-montör",19.5.2011,
"76320","Radionkorjaaja","Radioreparatör",19.5.2011,
"76320","Televisioasentaja","Televisionsmontör",19.5.2011,
"76330","Automatiikka-asentaja","Automatikinstallatör",19.5.2011,
"76330","Instrumenttiasentaja (elektroniikka)","Insrumentmekaniker (elektronik)",19.5.2011,
"76330","Elektroniikka-asentaja","Elektronikmontör",19.5.2011,
"76335","Tietotekniikka-asentaja","Datainstallatör",19.5.2011,
"01320","Geologi","Geolog",19.5.2011,
"76335","Tietokoneasentaja","Datamaskinmontör",19.5.2011,
"76340","Konttorikoneasentaja","Kontorsmaskinreparatör",19.5.2011,
"76390","Muut tietoliikenne- ja elektroniikka-asentajat","Övriga telekommunikations- och elekronikmontörer",19.5.2011,
"764","Linja-asentajat","Linjemontörer",19.5.2011,
"76410","Sähkövoiman linja-asentaja","Linjemontör (elkraft)",19.5.2011,
"76410","Linja-asentaja (sähkövoima)","Linjemontör (elkraft)",19.5.2011,
"76410","Ulkojohtoasentaja","Ellinjemontör (utomhus)",19.5.2011,
"76420","Puhelimen linja-asentaja","Linjemontör (telefon)",19.5.2011,
"76420","Linja-asentaja (tele)","Linjemontör (tele)",19.5.2011,
"76420","Puhelinlinja-asentaja","Linjemontör (telefon)",19.5.2011,
"01320","Kaivosgeologi","Gruvgeolog",19.5.2011,
"76490","Muut linja-asentajat","Övriga linjemontörer",19.5.2011,
"76490","Kaapelinasentaja","Kabelläggare",19.5.2011,
"765","Sähkö-, elektroniikka- ja teletekniikan kokoojat","Hopsättare (el- och teletekniska produkter)",19.5.2011,
"76510","Kokooja","Hopsättare",19.5.2011,
"76510","Konekäämijä","Ellindare",19.5.2011,
"76520","Tuotantotyöntekijä (sähkö-, elektr.- ja teletekn.)","Momentarbetare (el, teleteknik)",19.5.2011,
"76520","Johdottaja","Kabelsyare",19.5.2011,
"76520","Kutoja (sähkö)","Vävare (el)",19.5.2011,
"76520","Punoja (sähkö)","Snörmakare (el)",19.5.2011,
"76520","Puolankäämijä (sähkö)","Spollindare (el)",19.5.2011,
"01330","Paleontologi","Paleontolog",19.5.2011,
"76520","Kytkijä (sähkö)","Förbindare (el)",19.5.2011,
"76590","Muut sähkö-, elektr.-, teletekn laitteiden tekijät","Övriga hopsättare av el-, elektr-, teletekn produk",19.5.2011,
