"KOODIARVO","NIMI_FI","NIMI_SV","ALKUPVM","LOPPUPVM"
"07510","Lausuja","Recitatör",19.5.2011,
"07510","Nukketeatterinesittäjä","Dockteaterspelare",19.5.2011,
"07510","Pantomiimitaiteilija","Pantomimkonstnär",19.5.2011,
"07510","TV-näyttelijä","TV-skådespelare",19.5.2011,
"07520","Laulaja (taidemusiikki)","Sångare (seriös musik)",19.5.2011,
"00260","Työntutkimusinsinööri (sähkövoima)","Arbetsstudieingenjör (elkraft)",19.5.2011,
"07520","Kuorolaulaja","Körsångare",19.5.2011,
"07530","Tanssija","Dansare",19.5.2011,
"07530","Balettimestari","Balettmästare",19.5.2011,
"07530","Koreografi","Koreograf",19.5.2011,
"07540","Varieteetaiteilija","Variete'artist",19.5.2011,
"07540","Akrobaatti","Akrobat",19.5.2011,
"07540","Eläintenkesyttäjä","Domptör",19.5.2011,
"07540","Imitaattori","Imitator",19.5.2011,
"07540","Jonglööri","Jonglör",19.5.2011,
"07540","Klovni","Clown",19.5.2011,
"00260","Rationaalistamisinsinööri (sähkövoima)","Rationaliseringsingenjör (elkraft)",19.5.2011,
"07540","Nuorallatanssija","Lindansare",19.5.2011,
"07540","Sirkustaiteilija","Cirkusartist",19.5.2011,
"07540","Taikuri","Trollkonstnär",19.5.2011,
"07590","Muut näyttämötaiteilijat","Övriga scenkonstnärer",19.5.2011,
"07590","Avustaja","Statist",19.5.2011,
"07590","Sijaisnäyttelijä","Stuntman",19.5.2011,
"07590","Striptease-tanssija","Stripteasedansös",19.5.2011,
"076","Muusikot","Musiker",19.5.2011,
"07610","Säveltäjä","Kompositör",19.5.2011,
"07610","Sovittaja (musiikki)","Arrangör (musik)",19.5.2011,
"00260","Valmisteluinsinööri (sähkövoima)","Beredningsingenjör (elkraft)",19.5.2011,
"07615","Orkesterin- ja kuoronjohtaja","Orkester- och körledare",19.5.2011,
"07615","Kapellimestari","Kapellmästare",19.5.2011,
"07615","Kuoronjohtaja","Körledare",19.5.2011,
"07615","Orkesterinjohtaja","Orkesterledare/Kapellmästare",19.5.2011,
"07615","Kuoromestari","Körmästare",19.5.2011,
"07620","Kirkkomuusikko","Kyrkomusiker",19.5.2011,
"07620","Kanttori","Kantor",19.5.2011,
"07620","Kanttori-urkuri","Kantor-organist",19.5.2011,
"07620","Urkuri","Organist",19.5.2011,
"07630","Muusikko (kosketinsoittimet)","Musiker (tangentinstrument)",19.5.2011,
"00265","Työtutkimusteknikko (sähkövoima)","Arbetsstudietekniker (elkraft)",19.5.2011,
"07630","Pianisti","Pianist",19.5.2011,
"07635","Muusikko (paljesoittimet)","Musiker (bälginstrument)",19.5.2011,
"07640","Muusikko (jousisoittimet)","Musiker (stråkinstrument)",19.5.2011,
"07640","Konserttimestari","Konsertmästare",19.5.2011,
"07640","Sellisti","Cellist",19.5.2011,
"00030","Asemakaavainsinööri","Stadsplaneingenjör",19.5.2011,
"07640","Viulisti","Violinist",19.5.2011,
"07645","Muusikko (näppäilysoittimet)","Musiker (knäppinstrument)",19.5.2011,
"07645","Kitaristi","Gitarrist",19.5.2011,
"07645","Banjonsoittaja","Banjospelare",19.5.2011,
"07650","Muusikko (puupuhaltimet)","Musiker (träblåsinstrument)",19.5.2011,
"00265","Rationaalistamisteknikko (sähkövoima)","Rationaliseringstekniker (elkraft)",19.5.2011,
"07655","Muusikko (vaskipuhaltimet)","Musiker (bleckinstrument)",19.5.2011,
"07660","Muusikko (lyömäsoittimet)","Musiker (slaginstrument)",19.5.2011,
"07660","Rumpali","Trumslagare",19.5.2011,
"07665","Laulaja (kevyt musiikki)","Sångare (lätt musik)",19.5.2011,
"07672","Kaksijäseninen tanssiorkesteri (duo)","Dansorkester med två medlemmar (duo)",19.5.2011,
"07672","Orkesteri","Orkester",19.5.2011,
"07672","Tanssiorkesteri","Dansorkester",19.5.2011,
"07672","Yhtye","Ensemble",19.5.2011,
"07673","Kolmijäseninen tanssiorkesteri (trio)","Dansorkester med tre medlemmar (trio)",19.5.2011,
"07674","Nelijäseninen tanssiorkesteri (kvartetti)","Dansorkester med fyra medlemmar (kvartett)",19.5.2011,
"00265","Työntutkija (sähkövoima)","Arbetsstudieman (elkraft)",19.5.2011,
"07675","Viisijäseninen tanssiorkesteri (kvintetti)","Dansorkester med fem medlemmar (kvintett)",19.5.2011,
"07676","Kuusijäseninen tanssiorkesteri (sekstetti)","Dansorkester med sex medlemmar (sextett)",19.5.2011,
"07677","Seitsenjäseninen tanssiorkesteri (septetti)","Dansorkester med sju medlemmar (septett)",19.5.2011,
"07678","Kahdeksanjäseninen tanssiorkesteri (oktetti)","Dansorkester med åtta medlemmar (oktett)",19.5.2011,
"07690","Muut muusikot","Övriga musiker",19.5.2011,
"07690","Elektronimuusikko","Elektronmusiker",19.5.2011,
"07690","Nuottienkirjoittaja","Notskrivare",19.5.2011,
"077","Ohjaajat, näyttämömestarit","Regissörer, scenmästare",19.5.2011,
"07710","Ohjaaja (elokuva, teatteri)","Regissör (teater, film)",19.5.2011,
"07710","Teatteriohjaaja","Teaterregissör",19.5.2011,
"00265","Urakkahinnoittelija (sähkövoima)","Ackordsättare (elkraft)",19.5.2011,
"07710","Televisio-ohjaaja","TV-regissör",19.5.2011,
"07710","Elokuvaohjaaja","Filmregissör",19.5.2011,
"07720","Teatterituottaja","Teaterproducent",19.5.2011,
"07720","Elokuvatuottaja","Filmproducent",19.5.2011,
"07720","Elokuvatuotannon johtaja","Filmproduktionsledare",19.5.2011,
"07730","Näyttämöpäällikkö","Inspicient",19.5.2011,
"07730","Järjestäjä","Inspicient",19.5.2011,
"07740","Kuvaussihteeri","Scripta",19.5.2011,
